label,youtube_id,time_start,time_end,split
coughing,avO-_0cz98s,0,10,train
coughing,azqXdyMAth8,9,19,train
coughing,A_FZjBew_ss,0,10,train
coughing,B5LvpaWdwcs,5,15,train
coughing,BBCuDtrV9gU,7,17,train
coughing,Bbi08VLib5U,5,15,train
coughing,Bcn4xhEZIbE,14,24,train
coughing,BgAdPkkiUEA,0,7,train
coughing,BGYWV5zFR2U,32,42,train
coughing,BHjCQuZ3l94,112,122,train
coughing,bMkTGTmVofA,2,12,train
coughing,BQR9Y4gTGVg,35,45,train
coughing,BqS56u-vVp0,18,28,train
coughing,BrA8-tqd-dA,29,39,train
coughing,BS-EVw-DnYw,24,34,train
coughing,BtrJG6P0qQE,12,22,train
coughing,BWMdvJZrrs0,12,22,train
coughing,bwmiqqyve1E,0,10,train
coughing,bWNA9q8vOT4,10,20,train
coughing,by4X5jPFNL0,82,92,train
coughing,C-inA350anQ,23,33,train
coughing,c0X5jjbH0PU,0,10,train
coughing,C9OH8qTqvFs,44,54,train
coughing,cAbu7bD93jg,23,33,train
coughing,cCD1oIGoZQ0,10,20,train
coughing,CdjvSjLlG5c,41,51,train
coughing,Ceb4PBD2LpA,0,10,train
coughing,cetS7d3Hysk,15,25,train
coughing,Cg5iNCYq48o,74,84,train
coughing,CgdFhRBt4NM,255,265,train
coughing,cgxLidcjJj8,0,10,train
coughing,cMAzP4lFhoY,2,12,train
coughing,CqF2Mmkx7Gg,2,12,train
coughing,cqIyxZJZvy8,17,27,train
coughing,CrbMadFExK0,16,26,train
coughing,cRdPPXLvRoE,1,11,train
coughing,cRoEkMLm2nM,0,10,train
coughing,cTLG7mfHMAE,7,17,train
coughing,cTxs2Ew0RTE,17,27,train
coughing,cxnX206J4kY,1,11,train
coughing,czJUzbGtEw0,6,16,train
coughing,d-6P7XPoRvk,9,19,train
coughing,D1ix3VT9teA,0,10,train
coughing,D4Z73CDJIiI,0,10,train
coughing,d7ssBV1UPuA,122,132,train
coughing,d9GzHeFl7P8,22,32,train
coughing,D9VInLtUc-Y,66,76,train
coughing,daMTXI-4LnE,0,10,train
coughing,dc-ym7N8tUI,8,18,train
coughing,DEvdq2vVKxw,54,64,train
coughing,DG2KpzLDHdU,92,102,train
coughing,dgjtnfyW4gk,82,92,train
coughing,dh7R_Hjfwp8,0,10,train
coughing,DJ9K7wRzhfw,29,39,train
coughing,DJFwhtN_L_U,58,68,train
coughing,dJT74_Z_VTY,104,114,train
coughing,dmTnXa_T21g,48,58,train
coughing,dn6ap6wXFy0,13,23,train
coughing,doVpVh-ecBs,2,12,train
coughing,DQPepitO4P4,1,11,train
coughing,DRr2OUQU7gU,44,54,train
coughing,duOhIX6IMvg,28,38,train
coughing,e4N8-nKVIQw,92,102,train
coughing,e5Fa9tuLlfk,19,29,train
coughing,e6A55T68HwU,149,159,train
coughing,Ea4xm4F9hMQ,2,12,train
coughing,eaJoyhsMzOE,0,10,train
coughing,eAo5ImArivw,30,40,train
coughing,eawlF5S0znQ,0,10,train
coughing,eEAK1K8Me48,13,23,train
coughing,EgBafwBcBos,11,21,train
coughing,eh7T6PGStk0,0,10,train
coughing,eK39LK1iBHE,151,161,train
coughing,EleLJQO0eyE,1,11,train
coughing,eMPQTM0oS3Q,22,32,train
coughing,EN1cvcCI9u8,21,31,train
coughing,ePAI5RFxmpc,6,16,train
coughing,eQdlGc9GJnI,10,20,train
coughing,eQvYN190e7U,9,19,train
coughing,ErO9NAc2M5w,12,22,train
coughing,ESVdOg8mFTU,0,10,train
coughing,euxQBb718P4,1,11,train
coughing,EwB_YDD8-0g,3,13,train
coughing,eXikYyhTQ48,92,102,train
coughing,ExpdwiRA66E,1,11,train
coughing,ey21g96t6gk,0,10,train
coughing,EZADlKqAFqk,15,25,train
coughing,e_m2_W1BnLo,6,16,train
coughing,F-gGg7nFLnU,38,48,train
