label,youtube_id,time_start,time_end,split
falling off chair,ikOu0JPYWNo,10,20,train
falling off chair,IoCtoY3K2ok,8,18,train
falling off chair,IR_7RzSLVps,12,22,train
falling off chair,iYyAoE9PcTg,25,35,train
falling off chair,iZlW8shf_N4,0,10,train
falling off chair,J0lirp7FlUQ,2,12,train
falling off chair,J6UTFykMzMI,0,10,train
falling off chair,J9ZMc2sxSrM,0,10,train
falling off chair,jHtuv0UtUHA,32,42,train
falling off chair,jQNIiJWNto8,6,16,train
falling off chair,JtDiK-gXwsI,4,14,train
falling off chair,Jz16wqFdvrI,0,10,train
falling off chair,K-gAcRa8L5A,6,16,train
falling off chair,kaDbWyD6idc,3,13,train
falling off chair,Kc7sxcZmMww,1,11,train
falling off chair,KiujQ4H93kQ,5,15,train
falling off chair,KMcTf6fV_IA,5,15,train
falling off chair,KSuPKuzIIQo,0,10,train
falling off chair,kwh65tVZyik,1,11,train
falling off chair,kx2OZO7vD6Q,3,13,train
falling off chair,L41gl4yn65w,0,10,train
falling off chair,LAWoE-HriWI,13,23,train
falling off chair,lHJd_oqqSus,0,10,train
falling off chair,LkrTwjrq-0U,12,22,train
falling off chair,mANaY2-Lk9I,0,10,train
falling off chair,mmF0ZZP68r8,0,10,train
falling off chair,MnEH7KKfsMU,1,11,train
falling off chair,mtZ8fKExgIE,12,22,train
falling off chair,MWRfZ290hT8,5,15,train
falling off chair,n-tIf7kjMoY,6,16,train
falling off chair,n02c6QfQGg4,0,10,train
falling off chair,NfOMLwjIDE0,0,10,train
falling off chair,nlHNKRmv04s,15,25,train
falling off chair,nmEbssVfUVA,0,10,train
falling off chair,npSYI6asI1U,8,18,train
falling off chair,NpxgAeRtmJ0,1,11,train
falling off chair,Ntrkf1JspOs,0,10,train
falling off chair,o2scT-wP91A,0,10,train
falling off chair,o5uZ9SEMfJY,57,67,train
falling off chair,o9YfcSTWYN4,0,10,train
falling off chair,oaOM6BPQyFg,151,161,train
falling off chair,OLhN27PYWmQ,0,10,train
falling off chair,Oohs9RC0PKs,2,12,train
falling off chair,ovrQ-ofxsvc,0,10,train
falling off chair,Ovys_nrIwM8,12,22,train
falling off chair,OvYtAew4Ijw,13,23,train
falling off chair,ovzHo_u8T6c,19,29,train
falling off chair,P7JV5ovwQjg,0,10,train
falling off chair,PAKPRrLfe-0,4,14,train
falling off chair,pcRBavMQNmE,0,10,train
falling off chair,pGqJ0wlid8M,4,14,train
falling off chair,PHjf6KcpcZs,4,14,train
falling off chair,PMeTiHp4udI,0,10,train
falling off chair,prOW2L3tNlg,0,10,train
falling off chair,PXTEaBRu4ps,26,36,train
falling off chair,Q1RIyLUf4j8,7,17,train
falling off chair,Q2DEiP52KkQ,13,23,train
falling off chair,Q52gCdJI5UU,2,12,train
falling off chair,q6b9VXig4e0,2,12,train
falling off chair,q6lOnSHcGMQ,0,10,train
falling off chair,q8YT0dtCAeg,37,47,train
falling off chair,Q9xrIiuihVc,0,10,train
falling off chair,QBIF73-5Ipg,20,30,train
falling off chair,qngNjXV6CKs,6,16,train
falling off chair,QOYfITqIQIc,0,10,train
falling off chair,qo_Ca6pqWz4,5,15,train
falling off chair,Qr6np43_pxg,0,10,train
falling off chair,QrxSdAPbtyA,5,15,train
falling off chair,qv_erPwZIW0,0,10,train
falling off chair,RcZjp8cAGWE,0,10,train
falling off chair,RE_w7UIE9Dc,2,12,train
falling off chair,rfArLOO8HSk,1,11,train
falling off chair,rhpO2z50tE8,30,40,train
falling off chair,Rm1JIQRCVjE,46,56,train
falling off chair,RN9lRmy_b0I,0,10,train
falling off chair,RnI4tzxCcgg,0,10,train
falling off chair,rNLn1PVfHNE,8,18,train
falling off chair,roV-yLEy33k,20,30,train
falling off chair,rQrgTayKkLA,24,34,train
falling off chair,rsiJilkNXQM,0,10,train
falling off chair,rUxI00VjlnE,38,48,train
falling off chair,RXk5KhYOvBE,0,10,train
falling off chair,RY52TAVpNoU,0,10,train
falling off chair,rYD0P7Xqr4g,2,12,train
falling off chair,sdFwF9XCPAg,0,10,train
falling off chair,sDM6CMvI1m0,0,10,train
falling off chair,SDR2zZmh2jk,4,14,train
falling off chair,SJfJ2pdCRi8,97,107,train
falling off chair,slnyta751aM,10,20,train
falling off chair,sl_oBU2ukJ8,37,47,train
falling off chair,SvJ4NR1HSTQ,7,17,train
falling off chair,SznK0PZciNE,9,19,train
falling off chair,s_CJAmKJYw8,15,25,train
falling off chair,t4R1hGDxOFY,8,18,train
falling off chair,tA1bQnWRuPY,45,55,train
falling off chair,TAE_790skOE,4,14,train
falling off chair,tkTfi0Jl_CE,0,10,train
falling off chair,tNIXukpLDjg,7,17,train
falling off chair,tPQiEbeAkR0,13,23,train
falling off chair,TQiD_n7PDZ0,33,43,train
falling off chair,tW8IksK45yU,14,24,train
falling off chair,u8cU8oenJYE,23,33,train
falling off chair,uG1ZPoaMync,0,10,train
falling off chair,uHbnFKoQ1oY,13,23,train
falling off chair,uJrDWo_zJRg,0,10,train
falling off chair,umMNl7hF2qo,13,23,train
falling off chair,UUCzqXAbJmY,3,13,train
falling off chair,uW9f-hkxvnc,50,60,train
falling off chair,uZ5-goxzaWQ,60,70,train
falling off chair,uZDyy8cRvz8,1,11,train
falling off chair,V-tU8rgDv58,6,16,train
falling off chair,v0OwLdw-fOg,13,23,train
falling off chair,V2xlqx8Jvc4,4,14,train
falling off chair,v4-hn_N6oEs,47,57,train
falling off chair,V8Ap5rbxPjo,146,156,train
falling off chair,v8Teo71N-Yk,7,17,train
falling off chair,v8U4cRsCIyQ,0,10,train
falling off chair,V8zlK3_qYU8,4,14,train
falling off chair,VRGNkLCGc4E,21,31,train
falling off chair,VtdqnHJ0yaE,0,10,train
falling off chair,vXTZLlxsyeA,7,17,train
falling off chair,W2237TK0wcI,10,20,train
falling off chair,wagNdIVHtg4,0,10,train
falling off chair,WkbQu5wIQ_Q,2,12,train
falling off chair,wM6SnAt7ICs,107,117,train
falling off chair,wp5Bdv-UKVQ,2,12,train
falling off chair,wpV7g9Z7RMQ,0,10,train
falling off chair,WUIpY9OUhkk,6,16,train
falling off chair,wUo-zFFt7zQ,28,38,train
falling off chair,wWc9wECminA,0,10,train
falling off chair,XbCTwWQD1Xg,0,10,train
falling off chair,xc3aWf5ZPXc,4,14,train
falling off chair,XC_ZaKVvux4,0,10,train
falling off chair,XDwQ5fqRsfs,8,18,train
falling off chair,XhNzKPYjTTE,7,17,train
falling off chair,XMKm4hjLFXk,0,10,train
falling off chair,XP8yj-lkV6Y,10,20,train
falling off chair,XRm7bEkhzMk,0,10,train
falling off chair,xrOyxQ2ga2w,3,13,train
falling off chair,xuxIsn70O0U,0,10,train
falling off chair,xVibCwcZuMg,0,10,train
falling off chair,xVp4_65ym-4,2,12,train
falling off chair,y1OlPGzMbNA,4,14,train
falling off chair,Y5Ae6DEOXeM,3,13,train
falling off chair,yhaQ6ovBxWw,0,10,train
falling off chair,YHa_D8_5jRw,0,10,train
falling off chair,YqW9B4aedKE,1,11,train
falling off chair,YTRUp88yHbw,0,10,train
falling off chair,YXXrUBIoVzg,2,12,train
falling off chair,yylpeR2DPd8,0,10,train
falling off chair,Z0V6HAeuI8o,12,22,train
falling off chair,Z3kymmNexZI,1,11,train
falling off chair,zaGM-9_DGe4,0,10,train
falling off chair,zEfDUAc2gHM,0,10,train
falling off chair,ZFqBV9dwb10,3,13,train
falling off chair,Zh5QmydNOx0,0,10,train
falling off chair,Zi0fm17UBZE,0,10,train
falling off chair,zI9amowywPU,0,10,train
falling off chair,ZshNhZml8ag,275,285,train
falling off chair,zZbCN5B_cUw,15,25,train
falling off chair,_8E0uEFXkrI,29,39,train
falling off chair,_LqMpFg4R78,16,26,train
falling off chair,_mLRSi_-6Lw,30,40,train
falling off chair,_zueQKmXZss,25,35,train
falling off chair,1gl5_LQtp7A,21,31,train
falling off chair,2aUZJGk3DPU,1,11,train
falling off chair,2O3TCXTFfuo,27,37,train
falling off chair,32r-dz2Dew4,30,40,train
falling off chair,91qzUW567iM,48,58,train
falling off chair,a0P6wn0jyU8,0,10,train
falling off chair,DNlqSNtYGVs,0,10,train
falling off chair,dWiCraNHOkg,13,23,train
falling off chair,fxKsubHkXMc,0,10,train
