label,youtube_id,time_start,time_end,split
driving tractor,S8Cl4aU54UQ,2,12,train
using inhaler,2LIgmRmcNiQ,26,36,train
cheerleading,rHlpodR__sY,243,253,train
slacklining,5rZzXa4JqCQ,62,72,train
mowing lawn,LBG8ctmYBJc,13,23,train
using atm,LrY_Q6N3PPE,34,44,train
swimming backstroke,MJN1OjA7O8I,98,108,train
eating watermelon,BmBiQQyjcGA,18,28,train
playing dominoes,U57t06J4I4E,222,232,train
bobsledding,pkKonjhm6Dw,666,676,train
massaging feet,kmbrjVQIiYE,4,14,train
abseiling,mUUbYHYK7RM,69,79,train
uncorking champagne,ppAT6_imnJE,112,122,train
flying kite,pYiKwHYSZ5Y,33,43,train
fixing hair,1RPMJLJSAPI,1,11,train
alligator wrestling,OxU4o0ID_Mg,294,304,train
hurdling,593iAA1S_Yg,0,10,train
tap dancing,A7fvumwhdFk,127,137,train
checking tires,ptihAbEGcH8,60,70,train
milking goat,twoSuH8cuDs,84,94,train
playing saxophone,5bRseNSffik,455,465,train
using a sledge hammer,9Kve3ydDCuc,0,10,train
flint knapping,weW07z4bTf4,678,688,train
ice climbing,U3LUrk65apk,130,140,train
playing ukulele,a5-NdHnWgys,237,247,train
pushing wheelbarrow,yf1IoIgFndM,27,37,train
setting table,7TsklsmaW4Q,57,67,train
swing dancing,Sop_d4K0QAU,9,19,train
digging,I5Gf8O_uaic,164,174,train
putting on shoes,_jvRwgbNc8E,13,23,train
folding paper,kuGu8f63T1k,107,117,train
hockey stop,4fwQDqRDHt4,531,541,train
headbanging,gmp7T18pDf0,3,13,train
kicking field goal,sR0oOq-qOqs,15,25,train
dining,HEtjHjZkmcc,1,11,train
getting a haircut,_FMlcBhaiEI,10,20,train
doing laundry,jOSj-UuSW0A,7,17,train
beatboxing,fexXcUETfu0,87,97,train
playing cymbals,_bCkUS-vDc8,43,53,train
using atm,9RbZQqHZAqY,29,39,train
acting in play,KB6x3WnXNug,202,212,train
situp,wPTJp27hUv0,14,24,train
bungee jumping,7dXZpmd0Bxs,49,59,train
auctioning,SbXKvnQKRWk,453,463,train
eating spaghetti,K5cBiGgqoko,14,24,train
deadlifting,IA7s7292Bt8,2,12,train
playing beer pong,VxRLCOiMXf8,19,29,train
playing basketball,YC8Mq4vvsZU,53,63,train
drinking shots,KQE0vvtrDcI,305,315,train
folding napkins,7Ihl59F744c,113,123,train
casting fishing line,KtXTw2NXtWI,3,13,train
riding mechanical bull,PmykwgCr_tM,107,117,train
playing volleyball,zS9Rr6v2z-M,10,20,train
chiseling stone,l3QlTb7mr84,88,98,train
peeling banana,TpoeSviJTdc,2,12,train
cutting apple,Zco2PhGqQ60,20,30,train
rock scissors paper,k4xCJlqnoKU,276,286,train
waiting in line,sXc_YbnCgr4,2,12,train
biking through snow,GaDD79zHHkY,0,10,train
breathing fire,jcMtYDqy9hc,30,40,train
using segway,k4-4Z7gXWYc,0,10,train
playing tennis,3HXEwJlB0yA,94,104,train
jumpstyle dancing,FAV57pvR9gM,44,54,train
spray painting,PgS2F7NxNBg,147,157,train
playing gong,6LQvF3bSaaM,68,78,train
raising eyebrows,3TI94RM0Xf4,50,60,train
doing nails,2o2_eQMUUUg,177,187,train
throwing axe,3nAMDZuak6g,1,11,train
jaywalking,HBo6rih-41M,0,10,train
counting money,VjrRF6k7spM,533,543,train
sanding floor,sUVfmqD9qP0,38,48,train
surfing crowd,v-MlkKs06oA,82,92,train
scuba diving,cZrcb3q83OA,2,12,train
plastering,dmbQahKjTCQ,28,38,train
hammer throw,JYSQMVjxSUM,4,14,train
long jump,EqGc1kxlxAk,4,14,train
pole vault,6OwQACbBRGU,2,12,train
kicking field goal,q0OxzxFAGho,0,10,train
crossing eyes,QA_HgRvVBwk,1,11,train
blasting sand,eZ1eUvDjYyo,21,31,train
doing laundry,d40Tv56RrnA,8,18,train
curling eyelashes,sT0KdZI_6a8,255,265,train
geocaching,sQTP7uDz_fg,6,16,train
chasing,HXIGax2MNhg,54,64,train
eating doughnuts,Cn6s25ezw_Q,84,94,train
passing American football (in game),rUubXoWXwno,2,12,train
playing rounders,Vt2x-IahaD4,17,27,train
doing jigsaw puzzle,MrbRePqnZHE,5,15,train
high jump,1qTmm0487Ac,39,49,train
jumping bicycle,qj88bIhJKds,0,10,train
tapping pen,ZMtKs5iirVg,26,36,train
playing laser tag,mhWNo-2CY1U,10,20,train
riding elephant,7eKI3eTfyac,1,11,train
snatch weight lifting,hLrdZSYL390,13,23,train
pinching,8NTccR7LOMs,8,18,train
reading newspaper,rsMvYQ_k2-Y,222,232,train
eating burger,xnT3gPv5GUc,1,11,train
metal detecting,Ca4EUzP4BKk,267,277,train
curling hair,6MdDGDyt-Oo,101,111,train
dodgeball,2dvIGGnC-LQ,1,11,train
ironing,_2siVCR5EBs,51,61,train
gospel singing in church,ogKmZRy9sDQ,21,31,train
wrapping present,atNYTI3ZapY,324,334,train
riding mechanical bull,H_WMujAEz4c,14,24,train
splashing water,9oFvQBRac98,2,12,train
using a sledge hammer,8fCUR6FxFfU,119,129,train
alligator wrestling,wCJuxI_OuaU,13,23,train
barbequing,t-zEyRPxysY,159,169,train
playing accordion,GWTX_ke8zv4,28,38,train
laying decking,UHKM48tWmFc,63,73,train
tap dancing,fiet87JAWwo,57,67,train
playing poker,J1yEyRlVIss,17,27,train
grinding meat,WSy_bMfMsxw,9,19,train
tasting beer,81-iz7JmybI,219,229,train
geocaching,e3aZjrMsC6U,3,13,train
decoupage,YK_wVYnPXdE,602,612,train
push up,b92sJMn-oWw,11,21,train
picking apples,urMWdOUP_XU,31,41,train
eating burger,1gS5Udgciy0,52,62,train
juggling fire,5gjtVjDpUBQ,19,29,train
unloading truck,_YfLFWmUDAA,27,37,train
karaoke,73zBPzK6vOI,24,34,train
popping balloons,D1_xvjMKL_s,92,102,train
leatherworking,FE5JVjMx0_8,37,47,train
playing xylophone,3lVMSrkHISs,103,113,train
contact juggling,DuHEWttUH34,4,14,train
contorting,Zg5UJHNqQ7w,37,47,train
snowboarding,NpcGVNV0cYI,0,10,train
weaving basket,GDTaSIMmK5g,307,317,train
putting on foundation,RhJsYTSwUXY,32,42,train
shuffling cards,7FXi2LpmeJQ,65,75,train
eating doughnuts,rNmnyq5rLnc,118,128,train
ice skating,M4RNWMI5Fs0,7,17,train
treating wood,n26L-Cy-ohk,44,54,train
playing hand clapping games,YKPGMpylkPA,2,12,train
listening with headphones,K4DgsCrZtuc,67,77,train
somersaulting,gByfasTDKiU,3,13,train
uncorking champagne,GFOCF0b0Vvs,6,16,train
marching,m8Pyy2CXCos,33,43,train
marching,pF2qWsveTmU,80,90,train
zumba,tZ9waoxLgNQ,42,52,train
threading needle,PchTQP9YFXE,102,112,train
backflip (human),doq1pdPHNZ8,0,10,train
moon walking,p6oxJRKDmp0,0,10,train
picking blueberries,W8XVNS5dZlg,10,20,train
archery,6WAf4uKZraY,31,41,train
making snowman,BGlsCmw_49Q,197,207,train
plastering,a6n_EENOfWc,353,363,train
putting on eyeliner,-IuJcCl4_ac,453,463,train
getting a tattoo,IqIewp-cq7E,62,72,train
laughing,8UFHSpe02KM,18,28,train
welding,VBt3IRGO8B0,115,125,train
chopping wood,IQXjZChXhY8,43,53,train
carving pumpkin,Dx8Sdc1tMv0,3,13,train
making pizza,Ejmz4P7LRFg,117,127,train
scrapbooking,jltsvbDH7H4,29,39,train
faceplanting,yZO_Xdl7NVw,16,26,train
kicking soccer ball,JYmIN1dMuBI,90,100,train
moving baby,ELqq8G-2OJg,86,96,train
