label,youtube_id,time_start,time_end,split
sneezing,UsxpDaNqG1o,92,102,train
sneezing,UxXNq8hprkE,32,42,train
sneezing,V8aiBzSEMO8,17,27,train
sneezing,v8oR2xrlw08,0,10,train
sneezing,vcGAqgOnJss,6,16,train
sneezing,vpz1584y3p0,20,30,train
sneezing,VzpblJpLRfQ,2,12,train
sneezing,w8IDTqQOfqo,38,48,train
sneezing,WIvTshX9Sfc,12,22,train
sneezing,WJwzi0csy5k,1,11,train
sneezing,xfNhmMRxhvU,0,10,train
sneezing,XgFlQcj3TyY,6,16,train
sneezing,XkMzOsqTJjM,16,26,train
sneezing,xyuNFhwQRRM,1,11,train
sneezing,xzZjxKXktE8,6,16,train
sneezing,Y6ZxeIOtyQc,0,10,train
sneezing,y8d7RJUs41Y,18,28,train
sneezing,y91AJMiW0eI,1,11,train
sneezing,YbRGJRthUGY,0,8,train
sneezing,YEDUJ30wknQ,18,28,train
sneezing,YEoaIdccQiE,25,35,train
sneezing,yPpITZoHgP4,26,36,train
sneezing,ywd5lD1HFus,29,39,train
sneezing,yY3c6grQdMs,1,11,train
sneezing,ZFpaHQN88_s,8,18,train
sneezing,zOTW2zVaSFs,0,6,train
sneezing,zQHsW6sD874,21,31,train
sneezing,zsx6y6b77jw,4,14,train
sneezing,ZtqG6Ua4dcM,12,22,train
sneezing,_dmfGYii8ZI,7,17,train
sneezing,_NUWrfh5IGI,1,11,train
sneezing,_vw2tuYuWUU,34,44,train
sneezing,13sNynVNPRo,0,10,train
sneezing,1zt2IFg5S3c,0,10,train
sneezing,81IJia7iLhs,0,10,train
sneezing,A4ScOLc3kDk,51,61,train
sneezing,ax4eT8pggIk,0,10,train
sneezing,BavERZNBHhI,0,10,train
sneezing,bjf8vlgDLh4,0,10,train
sneezing,bq57bMIECQ4,0,10,train
sneezing,dJUuAU5rTWI,15,25,train
sneezing,EFwFoGpEHxY,0,10,train
sneezing,gGsRb8_Xcw0,0,10,train
sneezing,H0DA9uw680k,28,38,train
sneezing,JCyZy07wOtg,0,10,train
sneezing,K8SMIFy_IMs,0,10,train
sneezing,pcbkfqgaJk8,0,10,train
sneezing,PFI6oVqGiyg,0,10,train
sneezing,Q7lQz_-v40g,43,53,train
sneezing,RLNOqr9Ivis,2,12,train
sneezing,s8QiIG1vmUA,50,60,train
sneezing,TDdnuKl6q4k,2,12,train
sneezing,U1jgAt-2kq0,8,18,train
sneezing,VGO4XhVAxlU,0,10,train
sneezing,YAG24SALwsk,0,10,train
sneezing,yki6_bTVB_4,0,10,train
sneezing,zfBWtZ7phDc,2,12,train
sneezing,0JQQt58yrUU,0,10,train
sneezing,0OWjCuvrmSU,6,16,train
