label,youtube_id,time_start,time_end,split
waving hand,VkJh62pGpU4,4,14,train
waving hand,vqmeNHhV8Sc,0,10,train
waving hand,VRb6Flj9slw,1,11,train
waving hand,w0tXH7hmeQ8,2,12,train
waving hand,W5ZLGk1qWhQ,329,339,train
waving hand,W7GlzeTXy44,1,11,train
waving hand,WaNwga76Dvw,35,45,train
waving hand,WBx0bkU3jgI,0,10,train
waving hand,wCLdBSdf9UM,7,17,train
waving hand,WDbqYtLDfTs,0,10,train
waving hand,wegpRU1wu9Q,19,29,train
waving hand,WJFLNDUscnc,0,10,train
waving hand,WRKVPUnM1lE,18,28,train
waving hand,x8yiZuLd__Q,10,20,train
waving hand,xeOPKWhI7mQ,0,10,train
waving hand,XJB3BlUBVDg,10,20,train
waving hand,xky0IzVtU5E,0,10,train
waving hand,XrgjabHi1JM,70,80,train
waving hand,xUHOKq3sK7I,4,14,train
waving hand,XwufsTiDrQU,15,25,train
waving hand,Y01zeGFBEr0,83,93,train
waving hand,y5Vmzmr9VYM,0,10,train
waving hand,y7HEuHyXNps,101,111,train
waving hand,Y9bNfY8P4T4,8,18,train
waving hand,YCGXqFRffGU,29,39,train
waving hand,YXXYaavW_II,18,28,train
waving hand,YYZyKlS76Mw,11,21,train
waving hand,zg0c-vNJ_WE,6,16,train
waving hand,ZjgFgsToa6Y,25,35,train
waving hand,ZW8UuPUVAz0,0,10,train
waving hand,_59ht0cLVb8,9,19,train
waving hand,_J4gFJcbYAY,0,10,train
waving hand,C8NA2ReqgJs,0,10,train
waving hand,NPqp0mAllzE,2,12,train
waving hand,YZ1RqvaUXwU,0,10,train
waving hand,zwA18df18zw,0,10,train
waving hand,-9MNrY9-iVo,0,10,train
waving hand,12xRNhu1I1U,0,10,train
waving hand,1N4Qtm-EUXQ,0,10,train
waving hand,1R6pxMCbE40,15,25,train
waving hand,38PdndVvCTc,0,10,train
waving hand,6u5-mgAulHw,5,15,train
waving hand,A-nyoUXt_pI,22,32,train
waving hand,ATODOdxJN-c,0,10,train
waving hand,b79LG1X-_0s,15,25,train
waving hand,BTUOsx7JjnA,0,10,train
waving hand,CLcZzrg6Tg4,1,11,train
waving hand,CzLiQI0zdFY,0,10,train
waving hand,DndNjRBvakU,0,10,train
waving hand,E31IjIeTsG8,0,10,train
waving hand,E4Vezh1HO1o,0,10,train
waving hand,E63nYWzKpmQ,16,26,train
waving hand,eCSdEsXR9ik,0,10,train
waving hand,eo7XgAylrjY,3,13,train
waving hand,fcxf8QLgssg,0,10,train
waving hand,Fd57tzwPN5k,0,10,train
waving hand,GFxqiwoA8Mo,1,11,train
waving hand,Gw6z849zXog,0,10,train
waving hand,H3ZJnhe4R8M,0,10,train
waving hand,HiziX2SVWXU,0,10,train
waving hand,htEqHz4v-aI,8,18,train
waving hand,HXnW74uhlQY,0,10,train
waving hand,IB--iSokWFE,11,21,train
waving hand,IEzqQ2sjfqs,0,10,train
waving hand,IhDDIOvykJw,10,20,train
waving hand,J2WkKpfxegs,21,31,train
waving hand,JggdUB2NGf4,11,21,train
waving hand,JX9WYJVi680,0,10,train
waving hand,kF1Ls1gMDrI,17,27,train
waving hand,KOYHgN4NYMU,0,10,train
waving hand,KzCTk9vDkeo,0,10,train
waving hand,lDec8CzMywE,0,10,train
waving hand,LDv8Ca5u6DE,0,10,train
waving hand,lFKIm1JWLDo,0,10,train
waving hand,lVrmDdFgDUs,5,15,train
waving hand,m7igOnzVkpI,0,10,train
waving hand,MRaZeuZ-ztU,0,10,train
waving hand,MshZCcc5dbk,0,10,train
waving hand,my4QGQCQpps,3,13,train
waving hand,NSST4qPG7q8,0,10,train
waving hand,P-q_ul34uSA,0,10,train
waving hand,Q1c9NPIHUP8,0,10,train
waving hand,REktRhLebwY,8,18,train
waving hand,RUP_EPVU0nM,0,10,train
